thermal,solar,wind,hydro,battery_discharge,battery_charge
0.0,0,35.71454897484938,39.21081972884541,0,0
1.0440645486331841e-10,0,35.7145489737319,39.961980724598064,0,0
0.6782864746202452,0,35.71454897479147,41.664969297687946,0,0
3.094468778399775,0,35.71454897480766,41.66496929770569,0,0
3.528065131195663,0,35.71454897480766,41.66496929770568,0,0
1.0081630101088184,0,35.71454897480766,41.66496929770569,0,0
3.684774424583469,0,35.71454897480766,41.66496929770569,0,0
9.72419637101071,0,35.71454897480766,41.664969297705674,0,0
12.094674797949708,0,35.71454897480766,41.66496929770568,0,0
14.562074311134856,0,35.71454897480766,41.66496929770568,0,0
4.240567015277602,0,35.71454897480766,41.66496929770568,0,0
2.5309916943643884,0,35.71454897480767,41.66496929770568,0,0
2.1560162609049707,0,35.71454897480766,41.66496929770568,0,0
1.3766859777635518,0,35.71454897480766,41.66496929770568,0,0
1.5098212102453046,0,35.71454897480766,41.66496929770568,0,0
8.500198149955386,0,35.71454897480766,41.66496929770569,0,0
8.643660531627544,0,35.71454897480766,41.664969297705674,0,0
14.171470834627248,0,35.71454897480766,41.66496929770568,0,0
14.22178280976045,0,35.71454897480766,41.66496929770568,0,0
14.657488224090136,0,35.71454897480766,41.664969297705674,0,0
2.6173619367633894,0,35.71454897480766,41.664969297705674,0,0
1.0440706432525813e-10,0,35.7145489737319,38.90238201463053,0,0
1.044077547689036e-10,0,35.71454897373191,36.8855721188126,0,0
1.0440778059254679e-10,0,35.714548973731915,32.02559424297019,0,0
